DATE,YEAR,MONTH,MONTH_NAME,Rainfall_mm_per_month,Temperature_Celsius,Relative_Humidity_percent,Specific_Humidity_g_per_kg,Solar_Radiation_MJ_m2_per_month,Surface_Pressure_hPa
1/1/1984,1984,1,JAN,4.075,23.6767,66.145,11.845,19.54,99.3508
2/1/1984,1984,2,FEB,13.9142,26.1725,74.6183,15.5908,18.195,99.1708
3/1/1984,1984,3,MAR,138.4383,26.2783,83.4158,17.7917,18.1875,99.1617
4/1/1984,1984,4,APR,139.035,25.9108,86.1725,18.0817,17.97,99.2233
5/1/1984,1984,5,MAY,197.0525,25.2433,88.7142,17.9575,17.5175,99.2875
6/1/1984,1984,6,JUN,187.5592,24.7242,89.3367,17.5042,17.2875,99.4833
7/1/1984,1984,7,JUL,141.33,23.995,89.3442,16.7433,16.1075,99.4867
8/1/1984,1984,8,AUG,209.0217,24.0625,88.7425,16.6725,15.5575,99.5392
9/1/1984,1984,9,SEP,394.5342,24.18,89.8808,17.045,16.355,99.4533
10/1/1984,1984,10,OCT,244.7683,24.6142,90.2133,17.5892,18.1425,99.3842
11/1/1984,1984,11,NOV,44.9492,24.7467,83.7817,16.4275,18.815,99.375
12/1/1984,1984,12,DEC,8.5992,23.5958,73.3308,13.4192,16.665,99.2842
1/1/1985,1985,1,JAN,14.1392,25.4725,80.3508,16.3158,18.8075,99.2525
2/1/1985,1985,2,FEB,16.0842,25.365,67.8933,13.5233,18.8325,99.3175
3/1/1985,1985,3,MAR,78.2975,26.2358,81.1125,17.1783,18.1575,99.1817
4/1/1985,1985,4,APR,143.7642,25.8967,85.6883,17.9425,19.4725,99.2533
5/1/1985,1985,5,MAY,223.1608,25.2408,89.2208,18.0483,18.7175,99.3475
6/1/1985,1985,6,JUN,179.2892,24.3383,88.935,16.9917,16.0075,99.6292
7/1/1985,1985,7,JUL,243.3417,23.3642,89.98,16.2158,14.7725,99.62
8/1/1985,1985,8,AUG,215.4633,23.5858,90.1058,16.4692,14.395,99.56
9/1/1985,1985,9,SEP,278.0783,23.7925,89.8575,16.6417,16.0725,99.4767
10/1/1985,1985,10,OCT,141.71,24.8408,88.445,17.46,17.5825,99.365
11/1/1985,1985,11,NOV,28.4225,25.4142,86.3558,17.6108,18.575,99.3333
12/1/1985,1985,12,DEC,0.0758,24.0567,74.3492,13.9475,17.275,99.3083
1/1/1986,1986,1,JAN,0.4958,25.1733,75.3758,15.0083,17.455,99.3625
2/1/1986,1986,2,FEB,41.9192,25.6808,81.9667,16.8225,18.0975,99.2917
3/1/1986,1986,3,MAR,122.0758,25.4225,84.3933,17.1167,17.8775,99.3317
4/1/1986,1986,4,APR,142.5808,25.9633,86.7242,18.2825,18.8725,99.2233
5/1/1986,1986,5,MAY,167.8133,25.4883,88.0233,18.0525,18.3475,99.3875
6/1/1986,1986,6,JUN,154.4267,24.7117,88.4617,17.2942,16.99,99.5283
7/1/1986,1986,7,JUL,194.1083,23.4058,89.2658,16.1217,13.3575,99.7133
8/1/1986,1986,8,AUG,184.74,23.2883,88.0875,15.7783,14.8075,99.5892
9/1/1986,1986,9,SEP,214.6808,23.8517,88.9275,16.4933,14.6075,99.5825
10/1/1986,1986,10,OCT,238.1575,24.62,89.1225,17.3333,17.23,99.485
11/1/1986,1986,11,NOV,45.0108,25.0117,83.315,16.5608,17.4175,99.3467
12/1/1986,1986,12,DEC,18.9825,23.5992,71.1683,12.9183,17.3325,99.4725
1/1/1987,1987,1,JAN,5.2325,25.5675,74.6767,15.0825,18.8675,99.4492
2/1/1987,1987,2,FEB,25.0117,26.9017,78.6492,17.1458,17.805,99.3617
3/1/1987,1987,3,MAR,109.9525,26.4167,81.2992,17.375,17.8975,99.2592
4/1/1987,1987,4,APR,53.3475,27.1533,81.5075,18.2,20.74,99.3058
5/1/1987,1987,5,MAY,135.5608,26.405,85.6733,18.4817,18.4375,99.3
6/1/1987,1987,6,JUN,297.6592,25.0158,89.1242,17.7483,16.565,99.5883
7/1/1987,1987,7,JUL,181.0425,24.8925,88.62,17.5125,15.125,99.4792
8/1/1987,1987,8,AUG,498.8542,24.4217,90.7317,17.4767,13.775,99.4808
9/1/1987,1987,9,SEP,420.7517,24.6825,90.935,17.7917,16.22,99.5008
10/1/1987,1987,10,OCT,282.6933,25.1417,90.0892,18.1275,17.87,99.4075
11/1/1987,1987,11,NOV,4.1058,25.9375,82.9558,17.4375,18.6775,99.37
12/1/1987,1987,12,DEC,8.6233,25.285,75.2117,15.2008,17.03,99.4242
1/1/1988,1988,1,JAN,10.5683,25.81,77.395,16.0133,17.735,99.3575
2/1/1988,1988,2,FEB,33.5867,26.845,78.59,17.2458,18.155,99.17
3/1/1988,1988,3,MAR,117.3733,26.5983,85.775,18.7067,17.9275,99.295
4/1/1988,1988,4,APR,102.1817,26.4258,86.5942,18.7608,17.82,99.2383
5/1/1988,1988,5,MAY,207.3125,25.955,89.42,18.8842,18.8575,99.3817
6/1/1988,1988,6,JUN,311.6842,24.8367,90.495,17.8733,16.6775,99.49
7/1/1988,1988,7,JUL,370.2333,23.8075,90.3725,16.7542,14.6375,99.6058
8/1/1988,1988,8,AUG,327.9775,23.5792,90.2617,16.5092,14.305,99.5125
9/1/1988,1988,9,SEP,325.035,24.1558,91.2067,17.3042,15.1275,99.4625
10/1/1988,1988,10,OCT,275.5717,25.2083,89.7442,18.135,17.5875,99.3442
11/1/1988,1988,11,NOV,59.1242,25.4817,83.8675,17.1567,18.855,99.3958
12/1/1988,1988,12,DEC,29.0883,24.3983,81.2075,15.6317,18.06,99.3242
1/1/1989,1989,1,JAN,0.0258,22.0367,64.9325,10.5517,18.125,99.4675
2/1/1989,1989,2,FEB,0.8717,24.3058,66.2467,12.5058,18.37,99.3867
3/1/1989,1989,3,MAR,102.7342,25.8192,84.9558,17.67,17.815,99.2125
4/1/1989,1989,4,APR,162.6842,26.0917,87.3408,18.5525,18.61,99.195
5/1/1989,1989,5,MAY,178.245,25.3675,89.4883,18.2408,17.455,99.42
6/1/1989,1989,6,JUN,379.3083,24.7025,90.5983,17.7408,16.0575,99.5383
7/1/1989,1989,7,JUL,269.9658,23.9517,90.0625,16.8342,14.69,99.6167
8/1/1989,1989,8,AUG,266.7667,23.795,91.0467,16.8792,13.5325,99.555
9/1/1989,1989,9,SEP,275.8917,24.0975,91.1233,17.2333,15.2225,99.4025
10/1/1989,1989,10,OCT,298.7267,24.6558,90.2692,17.6317,16.7125,99.4408
11/1/1989,1989,11,NOV,13.9825,25.6308,83.8958,17.3375,19.425,99.3108
12/1/1989,1989,12,DEC,0.775,24.8533,78.1525,15.3942,19.405,99.3933
1/1/1990,1990,1,JAN,7.3117,25.5058,80.0292,16.34,18.2025,99.3008
2/1/1990,1990,2,FEB,55.0642,25.895,75.2058,15.6258,19.3375,99.34
3/1/1990,1990,3,MAR,27.1758,26.7733,76.2183,16.61,20.9275,99.3142
4/1/1990,1990,4,APR,171.0883,26.3475,87.765,18.9392,18.775,99.2442
5/1/1990,1990,5,MAY,176.0108,25.5083,89.3883,18.3725,17.7425,99.4175
6/1/1990,1990,6,JUN,157.3625,25.2092,89.0425,17.955,15.9175,99.5617
7/1/1990,1990,7,JUL,226.7558,24.0225,90.0883,16.9117,12.78,99.5858
8/1/1990,1990,8,AUG,76.74,24.0517,88.9342,16.6967,13.315,99.6275
9/1/1990,1990,9,SEP,172.6225,24.4942,89.4092,17.2625,15.2275,99.5075
10/1/1990,1990,10,OCT,149.7375,24.99,89.0508,17.7267,17.0725,99.425
11/1/1990,1990,11,NOV,29.8675,25.5983,86.6633,17.8525,18.075,99.3475
12/1/1990,1990,12,DEC,96.3908,25.4667,84.5958,17.2725,16.41,99.3108
1/1/1991,1991,1,JAN,25.8042,25.4158,74.2825,14.9658,17.26,99.3592
2/1/1991,1991,2,FEB,18.485,26.75,82.185,17.9492,17.8975,99.3075
3/1/1991,1991,3,MAR,38.6292,26.9583,82.755,18.3358,17.625,99.1792
4/1/1991,1991,4,APR,240.5175,25.9975,87.2858,18.4442,17.565,99.2642
5/1/1991,1991,5,MAY,160.0067,25.7017,89.2083,18.5658,17.295,99.3375
6/1/1991,1991,6,JUN,158.5967,25.1783,89.885,18.1058,17.0875,99.5075
7/1/1991,1991,7,JUL,421.8233,24.1417,90.6392,17.1442,14.085,99.6117
8/1/1991,1991,8,AUG,104.3733,23.7275,89.515,16.4867,13.42,99.6567
9/1/1991,1991,9,SEP,173.8217,24.6692,89.0592,17.3675,15.97,99.5592
10/1/1991,1991,10,OCT,128.6733,24.2875,89.8392,17.1533,16.4275,99.4525
11/1/1991,1991,11,NOV,4.3908,25.4075,84.5208,17.2008,18.6075,99.37
12/1/1991,1991,12,DEC,32.0933,24.2525,72.5233,13.7508,17.075,99.3908
1/1/1992,1992,1,JAN,0,23.66,68.5692,12.5058,16.805,99.3792
2/1/1992,1992,2,FEB,4.01,25.9867,65.9575,13.4767,19.4625,99.3633
3/1/1992,1992,3,MAR,61.9475,27.0642,80.1225,17.7167,17.5525,99.2017
4/1/1992,1992,4,APR,153.2725,26.3908,87.3558,18.8892,17.83,99.2692
5/1/1992,1992,5,MAY,260.9267,25.5633,90.42,18.675,17.6925,99.3642
6/1/1992,1992,6,JUN,310.9717,24.7283,90.3333,17.7183,15.7425,99.5492
7/1/1992,1992,7,JUL,247.6675,23.6467,90.9175,16.6817,13.6225,99.6792
8/1/1992,1992,8,AUG,126.3875,23.3983,88.5258,15.9592,14.115,99.7075
9/1/1992,1992,9,SEP,256.35,23.9667,90.0983,16.8858,14.8675,99.4675
10/1/1992,1992,10,OCT,173.1725,24.7533,90.1358,17.7017,17.28,99.4633
11/1/1992,1992,11,NOV,40.4983,24.335,83.0167,15.9525,17.805,99.3675
12/1/1992,1992,12,DEC,1.13,24.2558,75.2117,14.2983,17.3425,99.3783
1/1/1993,1993,1,JAN,1.0275,23.71,68.6142,12.4983,16.835,99.4492
2/1/1993,1993,2,FEB,32.3192,25.6333,74.4125,15.2208,18.6,99.3067
3/1/1993,1993,3,MAR,81.05,26.045,80.91,17.0408,18.1975,99.335
4/1/1993,1993,4,APR,110.3692,26.3075,86.6783,18.6108,18.085,99.2333
5/1/1993,1993,5,MAY,226.9092,26.0692,89.3675,19.01,17.75,99.3008
6/1/1993,1993,6,JUN,330.9325,25.0192,90.3492,18.0225,16.4775,99.5667
7/1/1993,1993,7,JUL,297.3508,23.8483,90.5025,16.8258,14.4875,99.6092
8/1/1993,1993,8,AUG,199.9083,23.795,89.995,16.6583,14.0475,99.625
9/1/1993,1993,9,SEP,311.5567,24.3292,90.9675,17.4208,15.75,99.5025
10/1/1993,1993,10,OCT,174.0967,25.2192,89.515,18.0892,17.4225,99.4175
11/1/1993,1993,11,NOV,70.2075,25.4133,88.2067,18.0208,17.995,99.2692
12/1/1993,1993,12,DEC,19.5825,24.5617,78.2692,15.165,16.0875,99.325
1/1/1994,1994,1,JAN,26.5783,24.8,77.395,15.2608,16.9525,99.2842
2/1/1994,1994,2,FEB,30.805,26.1142,77.445,16.2708,18.5925,99.3158
3/1/1994,1994,3,MAR,143.7192,26.2975,87.4475,18.7892,19.34,99.2525
4/1/1994,1994,4,APR,194.81,26.2717,88.0367,18.9267,17.445,99.2275
5/1/1994,1994,5,MAY,173.8575,25.6083,90.0808,18.6475,18.2525,99.3942
6/1/1994,1994,6,JUN,228.3125,24.8992,90.1225,17.8475,17.5525,99.5492
7/1/1994,1994,7,JUL,287.7392,23.9575,90.9825,17.0267,14.3625,99.6175
8/1/1994,1994,8,AUG,177.1942,23.9942,90.24,16.92,14.615,99.555
9/1/1994,1994,9,SEP,288.3017,24.1683,91.11,17.2842,15.9825,99.5308
10/1/1994,1994,10,OCT,337.5533,24.6325,91.245,17.8375,17.2575,99.3783
11/1/1994,1994,11,NOV,49.1283,24.7775,82.7675,16.26,19.0925,99.4092
12/1/1994,1994,12,DEC,0.0292,22.8175,74.4767,12.8817,17.715,99.465
1/1/1995,1995,1,JAN,29.6342,24.6508,72.425,14.0242,17.295,99.4392
2/1/1995,1995,2,FEB,46.1508,25.9075,79.4392,16.5517,18.4075,99.4183
3/1/1995,1995,3,MAR,149.6692,26.29,86.6742,18.615,17.0375,99.23
4/1/1995,1995,4,APR,195.2717,26.3233,88.9467,19.2267,17.4775,99.14
5/1/1995,1995,5,MAY,183.5483,25.8117,89.8758,18.85,17.8,99.3192
6/1/1995,1995,6,JUN,294.8133,25.1725,90.9142,18.335,16.0225,99.4883
7/1/1995,1995,7,JUL,384.1483,24.0725,91.7633,17.3392,13.3425,99.4567
8/1/1995,1995,8,AUG,394.9583,24.1283,92.4408,17.5267,13.055,99.4975
9/1/1995,1995,9,SEP,302.0867,24.4275,91.695,17.6833,15.145,99.5283
10/1/1995,1995,10,OCT,202.1267,24.8242,90.7225,17.9308,16.935,99.3692
11/1/1995,1995,11,NOV,49.9475,24.7983,80.8625,15.9175,18.6875,99.3683
12/1/1995,1995,12,DEC,6.1742,24.7292,78.66,15.4083,17.85,99.4225
1/1/1996,1996,1,JAN,0.8517,25.5375,79.2667,16.2333,18.765,99.2333
2/1/1996,1996,2,FEB,47.4825,26.3542,83.8392,17.9708,17.63,99.1833
3/1/1996,1996,3,MAR,157.5358,26.22,87.0333,18.6258,18.1025,99.1875
4/1/1996,1996,4,APR,134.3067,26.2917,88.3558,19.0458,18.11,99.185
5/1/1996,1996,5,MAY,214.1525,25.9867,89.8242,19.0333,17.33,99.3333
6/1/1996,1996,6,JUN,362.2067,24.9217,90.9492,18.0658,16.405,99.5033
7/1/1996,1996,7,JUL,243.5933,23.8933,90.68,16.895,14.78,99.6458
8/1/1996,1996,8,AUG,307.3642,23.8367,90.8567,16.8858,14.1325,99.5683
9/1/1996,1996,9,SEP,192.04,24.0842,90.5742,17.1017,14.62,99.4683
10/1/1996,1996,10,OCT,157.22,24.4433,90.0758,17.3825,16.975,99.4158
11/1/1996,1996,11,NOV,17.5933,24.7975,79.6717,15.6408,19.905,99.3242
12/1/1996,1996,12,DEC,4.3625,24.91,77.8408,15.3758,17.4375,99.365
1/1/1997,1997,1,JAN,32.8883,24.8925,79.6442,15.7625,17.43,99.3325
2/1/1997,1997,2,FEB,8.115,24.5042,66.3517,12.6408,18.38,99.385
3/1/1997,1997,3,MAR,262.6708,26.225,83.4092,17.7767,17.2425,99.245
4/1/1997,1997,4,APR,215.2825,25.4817,89.3908,18.3383,17.0975,99.3783
5/1/1997,1997,5,MAY,245.8242,25.5075,90.8158,18.6867,17.7575,99.4575
6/1/1997,1997,6,JUN,369.1925,24.9142,91.1267,18.11,14.8575,99.4725
7/1/1997,1997,7,JUL,180.8517,23.8858,90.0367,16.7625,13.8825,99.6667
8/1/1997,1997,8,AUG,181.9658,23.8417,89.81,16.6658,13.59,99.6675
9/1/1997,1997,9,SEP,155.2008,24.9008,89.89,17.8008,15.49,99.5017
10/1/1997,1997,10,OCT,97.8483,25.6583,89.6767,18.615,17.2925,99.365
11/1/1997,1997,11,NOV,52.3858,25.9608,86.4275,18.225,17.3325,99.3325
12/1/1997,1997,12,DEC,60.565,25.0292,77.7108,15.5025,17.1275,99.4333
1/1/1998,1998,1,JAN,7.6642,24.2025,72.2833,13.7642,16.625,99.335
2/1/1998,1998,2,FEB,15.12,27.1992,76.4708,17.1233,17.95,99.415
3/1/1998,1998,3,MAR,12.0483,27.5108,76.9042,17.5583,19.0125,99.2133
4/1/1998,1998,4,APR,229.125,27.5092,87.7942,20.3125,18.6325,99.1925
5/1/1998,1998,5,MAY,196.2842,26.7308,89.6217,19.8333,19.5925,99.3992
6/1/1998,1998,6,JUN,196.2617,25.525,90.6033,18.64,16.8125,99.5767
7/1/1998,1998,7,JUL,117.9267,24.5067,89.1242,17.2242,13.5575,99.5867
8/1/1998,1998,8,AUG,183.6433,23.9708,88.7508,16.6017,14.575,99.5325
9/1/1998,1998,9,SEP,218.4983,24.705,90.0358,17.6325,14.565,99.4725
10/1/1998,1998,10,OCT,218.8425,25.255,89.455,18.095,16.3675,99.445
11/1/1998,1998,11,NOV,31.1667,25.8767,84.6342,17.7633,18.5475,99.2817
12/1/1998,1998,12,DEC,1.105,24.9775,77.2108,15.34,17.52,99.3525
1/1/1999,1999,1,JAN,16.0167,25.3617,77.8,15.78,17.3225,99.2567
2/1/1999,1999,2,FEB,23.5475,26.2425,82.125,17.4567,17.485,99.22
3/1/1999,1999,3,MAR,27.9783,26.7642,84.8758,18.7133,17.815,99.0708
4/1/1999,1999,4,APR,78.6083,26.5483,85.7042,18.65,17.9425,99.2375
5/1/1999,1999,5,MAY,79.73,26.2475,85.7642,18.3183,18.2525,99.3333
6/1/1999,1999,6,JUN,179.2533,25.3667,89.13,18.1483,15.635,99.425
7/1/1999,1999,7,JUL,203.3425,24.2592,89.4492,17.0067,14.73,99.5758
8/1/1999,1999,8,AUG,143.5725,24.4342,86.79,16.6208,14.895,99.5567
9/1/1999,1999,9,SEP,121.4608,24.5208,88.7508,17.1433,14.71,99.4208
10/1/1999,1999,10,OCT,188.7442,24.695,89.745,17.5383,15.5525,99.4258
11/1/1999,1999,11,NOV,45.2725,25.6642,85.54,17.5942,17.44,99.3208
12/1/1999,1999,12,DEC,5.0867,25.7425,73.6808,14.9792,17.955,99.2875
1/1/2000,2000,1,JAN,0.8908,26.4483,74.265,15.685,17.9075,99.1633
2/1/2000,2000,2,FEB,0.2758,26.2033,61.5967,12.6858,18.07,99.2942
3/1/2000,2000,3,MAR,46.3558,27.2367,73.9583,16.3208,19.6825,99.1233
4/1/2000,2000,4,APR,77.33,26.7825,84.6617,18.6667,16.975,99.1292
5/1/2000,2000,5,MAY,182.4592,26.8592,83.9267,18.5083,18.235,99.2967
6/1/2000,2000,6,JUN,426.2667,24.7383,91.0883,17.895,15.46,99.5225
7/1/2000,2000,7,JUL,446.975,24.0875,90.5125,17.0817,15.1325,99.51
8/1/2000,2000,8,AUG,100.6875,23.8042,89.6608,16.6083,13.03,99.5892
9/1/2000,2000,9,SEP,177.1417,24.1733,90.6508,17.1975,14.76,99.4592
10/1/2000,2000,10,OCT,362.7167,24.8975,89.8358,17.795,15.6425,99.4533
11/1/2000,2000,11,NOV,75.4467,25.6225,84.9592,17.5592,18.6425,99.2892
12/1/2000,2000,12,DEC,9.0225,24.1725,74.995,14.1325,17.21,99.425
1/1/2001,2001,1,JAN,1.6267,24.2133,69.8167,13.1933,18.26,99.4008
2/1/2001,2001,2,FEB,3.8975,25.0492,71.9433,14.3767,17.25,99.2617
3/1/2001,2001,3,MAR,12.9683,26.8342,83.8267,18.5033,18.855,99.2233
4/1/2001,2001,4,APR,190.8008,26.4,89.1708,19.35,18.3775,99.22
5/1/2001,2001,5,MAY,236.8433,25.9375,90.7208,19.175,18.3875,99.3683
6/1/2001,2001,6,JUN,264.9583,24.84,90.8383,17.9392,16.7325,99.5458
7/1/2001,2001,7,JUL,123.3625,24.27,89.0533,16.9658,14.5325,99.5958
8/1/2001,2001,8,AUG,81.2433,23.8142,88.64,16.3942,12.3475,99.7033
9/1/2001,2001,9,SEP,256.5767,24.1067,90.1375,17.025,14.56,99.5075
10/1/2001,2001,10,OCT,103.1125,25.3667,88.7108,18.0458,17.435,99.4408
11/1/2001,2001,11,NOV,43.905,25.7642,86.2033,17.9017,18.405,99.3758
12/1/2001,2001,12,DEC,26.5325,25.7875,81.56,16.9325,17.7825,99.3183
1/1/2002,2002,1,JAN,8.2875,24.2058,68.03,12.7625,17.8025,99.3925
2/1/2002,2002,2,FEB,1.8675,26.365,73.1367,15.6033,18.06,99.3083
3/1/2002,2002,3,MAR,91.9508,27.0758,84.4925,18.89,17.8475,99.1908
4/1/2002,2002,4,APR,255.2058,26.5142,88.4833,19.3342,17.19,99.1
5/1/2002,2002,5,MAY,116.1992,26.4783,88.3742,19.245,17.5,99.3475
6/1/2002,2002,6,JUN,214.4725,25.0692,90.91,18.2083,16.3325,99.57
7/1/2002,2002,7,JUL,430.345,24.6275,91.5342,17.8483,14.3425,99.63
8/1/2002,2002,8,AUG,132.0367,24.2558,90.0267,17.1292,12.7425,99.5975
